,Finess,Nomdelétablissement,NomInvestigateur,PrénomInvestigateur,TitreProjet,NuméroProjet,Acronyme,MontantAccordé,Année,Type,Projet
0,490000031,CHU D'ANGERS,ABRAHAM,Pierre,Mesure de l'index de pression systolique de cheville après test d'effort maximal,201,,156091.0,2012,I,PHRC
1,130786049,APHM,ALBANESE,Jacques,"Intérêt pronostique de la balance des activités pro-coagulantes et pro-fibrinolytiques des microparticules dans le choc septique
",242,,110000.0,2012,I,PHRC
2,750712184,ASSISTANCE PUBLIQUE AP-HP,ANDREELI,Fabrizio,Disparition du diabète de type 2 après chirurgie bariatrique: importance de la restauration de la phase précoce de la sécrétion d'insuline. Etudes des mécanismes spécifiques en jeu et des facteurs prédictifs de réponse métabolique postopératoire ,101,,200000.0,2012,I,PHRC
3,750712184,ASSISTANCE PUBLIQUE AP-HP,ANGOULVANT,Francois,"Diminution du recours aux urgences par l'éducation des familles à la fièvre chez l'enfant - "" Protocole D-Fi ""  ",78,D-Fi ,112000.0,2012,I,PHRC
4,290000017,CHRU DE BREST,ARBAB-CHIRANI,Réza,Traitement des dents immatures nécrosées post-traumatiques : essai randomisé multicentrique comparant la revascularisation pulpaire versus la barrière apicale,205,,60836.0,2012,I,PHRC
5,310781406,CHU DE TOULOUSE,ARNAL,Jean-François,Description des phénotypes endothéliaux des tissus adipeux sous-cutanés abdominaux et fémoraux chez la femme.,145,,176592.0,2012,I,PHRC
6,510000029,ADMINISTRATION GENERALE DU CHR DE REIMS,ARNDT ,Carl,Etude de l'association entre marqueurs génétiques (lipase endothéliale et aldose réductase) et formes chirurgicales de rétinopathie diabétique                                                                                                                                                               ,195,,136423.0,2012,I,PHRC
7,440000289,CHU DE NANTES,ASSERAY - MADANI,Nathalie,Intérêt du suivi thérapeutique pharmacologique de la ceftriaxone administrée à posologie élevée dans le traitement des infections neuro-méningées de l'adulte,208,,79816.0,2012,I,PHRC
8,760780239,CHU ROUEN,AUQUIT AUKBUR,Isabelle,Efficacité clinique de la matrice collagenoélastine sur les pertes de substances cutanées greffées en peau mince,319,,147000.0,2012,I,PHRC
9,750712184,ASSISTANCE PUBLIQUE AP-HP,BADER-MEUNIER,Brigitte,Etaplus : Détermination de la posologie individuelle efficace d’étanercept chez les patients traités pour arthrite juvénile idiopathique  ,85,Etaplus ,138000.0,2012,I,PHRC
10,300780038,CHU NIMES,BARBAR ,Saber,Impact sur la balance énergétique de l’intervention d’un diététicien afin d’optimiser l’application des recommandations d’experts sur la nutrition en réanimation – Etude NutriSave,286,NutriSave,168000.0,2012,I,PHRC
11,760780239,CHU ROUEN,BASTE,Jean-Marc,Prise en charge des pleurésies infectieuses : drainage chirurgical vs drainage médical,312,,52000.0,2012,I,PHRC
12,750712184,ASSISTANCE PUBLIQUE AP-HP,BEAUDEUX,Jean-Louis,"Effets du resvératrol (80 mg/jour pendant 90 jours) sur le métabolisme glucidolipidique, l’inflammation et le phénotype leucocytaire circulant de sujets non diabétiques atteints de syndrome métabolique    ",103,,200000.0,2012,I,PHRC
13,140000100,CHU COTE DE NACRE - CAEN,BERGER,Ludovic,TEDAC. Etude exploratoire des facteurs pronostiques des dissections aortiques de type III : intérêt de l’imagerie (TEP au 18F-FDG & angio-TDM) et des biomarqueurs (MMP 2 et 9 et TIMP 1),298,TEDAC,171000.0,2012,I,PHRC
14,510000029,ADMINISTRATION GENERALE DU CHR DE REIMS,BERNARD ,Philippe,Enquête de Pratique de la Prise en Charge de la Pemphigoïde Bulleuse : place et coût de la dermocorticothérapie locale forte                                                                                                                                                                                   ,190,,176956.0,2012,I,PHRC
15,690781810,HOSPICES CIVILS DE LYON,BOHE,Julien,CONTRÔLING - CONTRÔLE INdividualisé de la Glycémie en réanimation.                                                                                                                                                                                             ,5,CONTRÔLING,77000.0,2012,I,PHRC
16,130786049,APHM,BONELLO ,Laurent,Intérêt pronostique des  progéniteurs endothéliaux et de leurs facteurs de mobilisation et recrutement au cours des syndromes coronaires aigus.,243,,179000.0,2012,I,PHRC
17,590780193,CHRU LILLE,BORDET,Régis,Etude CEOPS Controlled Education Of Patients after Stroke Etude de l’impact d’une implication du personnel infirmier des services de neurologie vasculaire dans la prévention secondaire du post-AVC,306,,195500.0,2012,I,PHRC
18,310781406,CHU DE TOULOUSE,BOUNES,Vincent,Douleur des personnes âgées : étude randomisée en double aveugle sur l’efficacité du Mélange Equimolaire Oxygène Protoxyde d’Azote (MEOPA) versus analgésie conventionnelle.,146,MEOPA,117745.0,2012,I,PHRC
19,750712184,ASSISTANCE PUBLIQUE AP-HP,BOURRON,Olivier,Etude des mécanismes de la calcification des artères de jambe dans le diabète      ,104,,182000.0,2012,I,PHRC
20,750712184,ASSISTANCE PUBLIQUE AP-HP,CAMPEOTTO,Florence,Etude des performances des tests rapides de dosage de la calprotectine fécale pour le diagnostic d’une entéropathie chez le prématuré    ,94,,103000.0,2012,I,PHRC
