,Finess,Nom de l'établissement,NomInvestigateur,PrénomInvestigateur,TitreProjet,NuméroProjet,Acronyme,MontantAccordé,Année,Type,Projet
0,750712184.0,ASSISTANCE PUBLIQUE AP-HP,ANE,Anne-Marie,Amélioration de la qualité de vie des patients transplantés cardiaques grâce à une éducation thérapeutique structurée et formalisée réalisée par une équipe pluriprofessionnelle,"12-002-0018 
","QUALITEP CARDIO
",71720.0,2012,,PHRIP
1,870000015.0,CHU DE LIMOGES,ARNAUD,Jean-Paul,Impact d’une technique de massage durant la première semaine d’hospitalisation sur la récupération de la mobilité du genou suite à la pose d’une prothèse totale de genou,"12-016-0029 
","PTG Mass
",39857.4,2012,,PHRIP
2,870002466.0,CHS ESQUIROL,BOURLOT,Danièle,L’insight du schizophrène ou trouble apparenté lors d’hospitalisation en psychiatrie,"12-016-0045 
",SCHIZINSIGHT,58212.00000000001,2012,,PHRIP
3,440000289.0,CHU DE NANTES,BREMONT,Françoise,Rééducation suite à  une tendinopathie d'Achille par le port de chaussures inclinées,"12-020-0034 
",TARCI,5335.0,2012,,PHRIP
4,300780038.0,CHU NIMES,DEBUYSSCHERE,Jane,Evaluation de l'impact d’une prise en charge basée sur l’accompagnement sensoriel de la personne âgée souffrante de maladie neurodégénérative de type Alzheimer,"12-015-0042 
",SensiCare,38907.0,2012,,PHRIP
5,370000481.0,CHRU DE TOURS,DI VITTORIO ,Axel,Impact du drainage lymphatique manuel sur l'oedème post-opératoire de la face et du cou après chirurgie orthognathique : Essai randomisé,"12-010-0014 
","DLM
",68770.90000000001,2012,,PHRIP
6,310781406.0,CHU DE TOULOUSE,FOISSAC,Jean-Christophe,Etude portant sur la validation et la pertinence de l’utilisation de l’EVA-A,"12-018-0006 
","ANXYDOL
",63471.100000000006,2012,,PHRIP
7,870000015.0,CHU DE LIMOGES,FOURCADE ,Laurent,"Étude d’une thérapie non médicamenteuse, complémentaire au traitement habituel pour les douleurs induites par le retrait du drain aspiratif (type Redon) chez l’enfant de 7 à 17 ans en chirurgie pédiatrique.","12-016-0031 
",TOUTETDOU,62249.00000000001,2012,,PHRIP
8,750712184.0,ASSISTANCE PUBLIQUE AP-HP,GEOFFROY ,Louise ,"Intérêt de l’association de deux techniques complémentaires, l’hypnose et la neurostimulation électrique transcutanée dans la prise en charge des douleurs neuropathiques périphériques chroniques et/ou nociceptives non cancéreuses : essai randomisé","12-002-0049 
",HYPTENS,101158.20000000001,2012,,PHRIP
9,340000207.0,CRLC PAUL LAMARQUE,LACROIX LAURIOL ,Catherine,Observatoire des complications chez l'adulte atteint de cancer bénéficiant d'une nutrition parentérale supérieure à 1 mois sur dispositif veineux implantable (DVI)initiée en hospitalisation,"12-105-0010 
",ONAC,60500.00000000001,2012,,PHRIP
10,750712184.0,ASSISTANCE PUBLIQUE AP-HP,LE NY ,Isabelle ,Validation d'une échelle française de triage aux urgences pédiatriques,"12-002-0089 
",TRIAGE,92039.20000000001,2012,,PHRIP
11,130786049.0,APHM,MASCARIN ,Maryline ,"Efficacité de l’accompagnement péri-opératoire des patients présentant une pathologie psychiatrique sur le vécu péri-opératoire
","12-024-0058 
",VEPSY,71825.6,2012,,PHRIP
12,690781810.0,HOSPICES CIVILS DE LYON,PILLET,Fabienne,"Evaluation de la formation des infirmières à la stimulation de l'oralité sur l'acquisition de l'autonomie alimentaire chez les nouveau-nés d'une unité de réanimation néonatale et néonatologie : impact sur les connaissances, les pratiques et la qualité des soins","12-027-0100 
","TOP
",93291.00000000001,2012,,PHRIP
13,340780477.0,CHU MONTPELLIER,ROMIEU,Huguette,Efficacité de la kinésithérapie avec sophrologie Caycédienne dans l'asthme de l'enfant : étude randomisée contrôlée,"12-014-0060 
","Asthme sophro
",33850.3,2012,,PHRIP
14,130786049.0,APHM,ROSSI ,Florence,Observance de la prise des compléments nutritionnels oraux en service de gériatrie : étude randomisée évaluant l'efficacité d'une stratégie de choix des produits par dégustation préalable,"12-024-0068 
",CNO,105985.00000000001,2012,,PHRIP
15,690780143.0,CH SAINT JEAN DE DIEU,SAUCOURT ,Guillaume ,Vers une nouvelle approche infirmière dans la prise en charge des patients schizophrènes,"12-027-0015 
",ETPRC,122804.00000000001,2012,,PHRIP
16,330781196.0,CHU HOPITAUX DE BORDEAUX,SAUR,Joelle,Evaluation d’un programme de mobilisation rachidienne dans le traitement du Canal Lombaire Etroit acquis central après infiltration épidurale : Etude comparative randomisée versus rééducation en cyphose,"12-004-0067 
",CLEMOB,76287.20000000001,2012,,PHRIP
17,380780080.0,CHU GRENOBLE,SAUREL,Bruno,Peut-on améliorer la marche de l’amputé fémoral en guidant la correction prothétique par l'analyse des pressions dans l’emboîture ?,"12-026-0012 
","MARCHE AMPUTE
",59400.00000000001,2012,,PHRIP
