,Finess,Nom de l'établissement,NomInvestigateur,PrénomInvestigateur,TitreProjet,NuméroProjet,Acronyme,MontantAccordé,Année,Type,Projet
0,380780080.0,CHU GRENOBLE,ALBALADEJO,Pierre,"Impact d'un programme pédagogique sur la culture de
sécurité au bloc opératoire : Apprentissage par simulation et check list de sécurité au bloc opératoire",12-026-0101,PROPECS,222970.00000000003,2012,,PREPS
1,380780080.0,CHU GRENOBLE,ALLENET,Benoit,"Evaluation de l’apport du Dossier Pharmaceutique
électronique sur la qualité de la conciliation médicamenteuse lors de la consultation d’anesthésie",12-026-0056,DP-CONCIL,198880.00000000003,2012,,PREPS
2,750712184.0,ASSISTANCE PUBLIQUE AP-HP,ASTAGNEAU,Pascal,Evaluation des pratiques et analyse des risques associés aux cathéters veineux périphériques en milieu hospitalier : une étude multicentrique observationelle,12-002-0037,CATHEVAL,146960.0,2012,,PREPS
3,800000044.0,CHU AMIENS,BARBARE,Jean-Claude,"Essai randomisé évaluant l'intervention du Cancéropôle
Nord-Ouest pour le développement de la recherche clinique dans les établissements de soins, non-universitaires",12-022-0048,ERNU,555720.0,2012,,PREPS
4,750712184.0,ASSISTANCE PUBLIQUE AP-HP,BOUTRON,Isabelle,Comparaison de l’effet traitement entre sujets âgés et sujets plus jeunes,"12-002-0014 
","COMA-study
",48675.00000000001,2012,,PREPS
5,440000289.0,CHU DE NANTES,BRETONNIERE,Cédric ,"Mesure de la Culture de Sécurité des Soins dans les Unités de Réanimation en France.Corrélation avec les
caractéristiques des Revues de Morbi-Mortalité",12-020-0062,REA-C-Sur,130046.40000000001,2012,,PREPS
6,690781810.0,HOSPICES CIVILS DE LYON,DERUMEAUX,Geneviève,Essai comparatif randomisé de deux stratégies de prise en charge de l’insuffisance cardiaque grave en région Rhône-Alpes. Etude d’impact clinique et médico-économique,12-027-0084,EFICARD,491700.00000000006,2012,,PREPS
7,750000549.0,FONDATION OPHTALMOLOGIQUE ROTHSCHILD,DEVYS,Jean-Michel,SURVEILLANCE ANESTHESIQUE CENTRALISEE HORS-SALLE POUR LA CHIRURGIE DE LA CATARACTE : ETUDE DE NON-INFERIORITE,12-002-0030,SACHS,122760.00000000001,2012,,PREPS
8,750712184.0,ASSISTANCE PUBLIQUE AP-HP,DURIEUX,Pierre,Evaluation de l’efficacité d’un système par lecture optique (codes à barres et radiofréquence) sur la réduction des erreurs lors de l’administration des médicaments : essai contrôlé randomisé multicentrique,12-002-0076,DREAM,251986.90000000002,2012,,PREPS
9,780001236.0,CH INTERCOMMUNAL DE POISSY ST-GERMAIN,FAUCONNIER,Arnaud,"Urgences gynécologiques : Définition et validation
d’indicateurs d’activité et de qualité des soins en vue de la création d’un réseau sentinelle",12-002-0081,URGO,101884.20000000001,2012,,PREPS
10,380780080.0,CHU GRENOBLE,FRANCOIS,Patrice,"Apport des comités de retour d'expérience à la sécurité
des soins",12-026-0001,ACREX,88880.0,2012,,PREPS
11,750000143.0,MAISON MEDICALE JEANNE GARNIER,GUIRIMAND,Frédéric,Développement et validation d'un outil standardisé de recueil et d'évaluation de l'activité en soins palliatifs,12-002-0105,ACTI-PALLI,527274.0,2012,,PREPS
