,Finess,Nom de l'établissement,NomInvestigateur,PrénomInvestigateur,TitreProjet,NuméroProjet,Acronyme,MontantAccordé,Année,Type,Projet
0,440000289.0,CHU DE NANTES,AUDRAIN,Marie,Evaluation de l'utilité clinique et médico-économique du dépistage néonatal généralisé des Déficits Immunitaires Combinés Sévères (DICS) par quantification des TRECs sur cartes de Guthrie,265,DEPISTREC,2124851.24,2013,,PRME
1,690781810.0,HOSPICES CIVILS DE LYON,BADET,Lionel,Evaluation médico-économique de l’allogreffe bilatérale de mains et avant-bras,527,ARMEDIC,4919864.359999999,2013,,PRME
2,130786049.0,APHM,BRETELLE,Florence,"Impact médico-économique du dépistage d'Atopobium vaginae et de Gardnerella vaginalis en biologie moléculaire par ""point-of-care"" lors de la grossesse",390,AuTOP,1569186.6,2013,,PRME
3,310781406.0,CHU DE TOULOUSE,MARX,Mathieu,Implantation cochléaire dans les surdités profondes unilatérales de l’adulte : évaluation coût-utilité,245,CISSD,1153363.24,2013,,PRME
4,540002078.0,CHU DE NANCY,ROSSIGNOL,Patrick,"Evaluation médico-économique de la stimulation unilatérale du sinus carotidien dans le traitement de l’hypertension artérielle résistante: essai contrôlé, randomisé, ouvert avec évaluation d’efficacité tensionnelle et de sécurité « ESTIM-RHTN » (medico-Economic evaluation of baroreceptor STIMulation for the treatment of Resistant HyperTensioN)",260,ESTIM-RHTN,2262208.88,2013,,PRME
0,690000880.0,CENTRE LEON BERARD,RICHIOUD,Bertrand,Evaluation médico-économique de la vertébroplastie percutanée comparée à la radiothérapie chez les patients atteints de métastases osseuses douloureuses.,13-013 ,RADIOINTER01,386503.83999999997,2013,K,PRME
1,750813321.0,INSTITUT CURIE Paris Saint-Cloud,ROUZIER,Roman,Optimisation du parcours de santé des patientes traitées pour un cancer du sein opérable,13-022 ,OPTISOIN01,477566.4,2013,K,PRME
0,340780477.0,CHU MONTPELLIER,AVIGNON,Antoine,Evaluation médico-économique d’un programme de Gestion Personnalisée de la Santé (GPS-santé) à l’aide d’une solution « Web-Mobilité » pour la prise en charge de l’obésité compliquée en soins primaires,14-0138 ,GPS-WebMobilite ,505502.6,2014,,PRME
1,380780080.0,CHU GRENOBLE,BENHAMOU,Pierre-Yves,Impact médico-économique de la stabilisation des formes sévères de diabète de type 1 par transplantation d’îlots pancréatiques,14-0225 ,STABILOT,4620772.46,2014,,PRME
2,670780055.0,HOPITAUX UNIVERSITAIRES DE STRASBOURG,DEBRY,Christian,Evaluation médico-économique de la SInuplastie par BAllonnet comme traitement mini-invasif de la sinusite frontale par un essai prospectif multicentrique randomisé (SIBA) ,14-0228 ,SIBA ,531235.0,2014,,PRME
3,330781196.0,CHU HOPITAUX DE BORDEAUX,DUCASSE,Eric,"Evaluation médico-économique du traitement des resténoses intra-stents périphériques comparant l’angioplastie avec ballons standards, ballons actifs seuls ou Laser-Excimer associé aux ballons actifs ",14-0068 ,INTACT ,1144629.5,2014,,PRME
4,440000289.0,CHU DE NANTES,GOUEFFIC,Yann,Analyse coût-utilité de la prise en charge en chirurgie ambulatoire versus l’hospitalisation conventionnelle dans le traitement de l’artériopathie oblitérante des membres inférieurs par technique endovasculaire ,14-0444 ,AMBUVASC,273928.5,2014,,PRME
5,860780980.0,CHU DE POITIERS,JAYLE,Christophe,Evaluation Médico-économique de la prise en charge des VOLets thoraciques entre traitement chirurgical par raccords Stracos et traitement médical par un essai prospectif randomisé contrôlé ouvert.,14-0266 ,EMVOLS ,2360229.9,2014,,PRME
