,Finess,Nom de l'établissement,NomInvestigateur,PrénomInvestigateur,TitreProjet,NuméroProjet,Acronyme,MontantAccordé,Année,Type,Projet
0,300780038,CHU NIMES,ABBAR,Mocrane,Evaluation des effets de la kétamine dans le traitement en urgence des idées suicidaires: Etude multicentrique randomisée en double aveugle,304,KETIS,357459.0,2013,N,PHRC
1,750712184,ASSISTANCE PUBLIQUE AP-HP,ADNET,Frédéric,Prise en charge initiale des voies aériennes au cours de l'arrêt cardiaque extra-hospitalier: intubation endotrachéale versus ventilation au masque,196,CAAM,562733.7,2013,N,PHRC
2,750712184,ASSISTANCE PUBLIQUE AP-HP,BACHELOT,Anne,Evaluation de la pharmacocinétique des traitements contraceptifs hormonaux chez les femmes avant et après chirurgie bariatrique,643,OBECO,177631.0,2013,N,PHRC
3,340780477,CHU MONTPELLIER,BAGHDADLI,Amaria,Etude des déterminants de l'évolution dans une cohorte d'enfants et adolescents avec Troubles du Spectre Autistique (TSA) – Etape 1,232,ELENA-E1,688209.36,2013,N,PHRC
4,750712184,ASSISTANCE PUBLIQUE AP-HP,BEAUDREUIL,Johann,Efficacité du Discogel Intradiscal dans la Sciatique résistant au traitement médical : étude de non-infériorité en comparaison avec la chirurgie,403,EDIS,545489.0,2013,N,PHRC
5,690781810,HOSPICES CIVILS DE LYON,BERARD,Frédéric,Étude de l’efficacité et de la tolérance du quadruplement posologique de la lévocétirizine dans le traitement de l’urticaire chronique commune résistant à la posologie AMM.,130,LEVURE-PLUS,369210.0,2013,N,PHRC
6,750712184,ASSISTANCE PUBLIQUE AP-HP,BODILIS,Hélène,Essai randomisé ouvert comparant l’immunogénicité de 4 stratégies vaccinales anti-pneumococciques chez l’adulte,490,HYPO-PNEUMO,432886.02999999997,2013,N,PHRC
7,540002078,CHU DE NANCY,BONNEMAINS,Laurent,Detection du Rejet Aigu de Greffe cardiaque par Estimation du T2 en IRM,606,DRAGET,718747.74,2013,N,PHRC
8,330781196,CHU HOPITAUX DE BORDEAUX,BORDACHAR,Pierre,Evaluation de l’exactitude diagnostique du 18FDG-TEP-TDM dans le diagnostic d’infection sur sonde de stimulation ou de défibrillateur cardiaques : étude prospective multicentrique,43,ENDOTEP,368210.66000000003,2013,N,PHRC
9,750712184,ASSISTANCE PUBLIQUE AP-HP,BRIOT,Karine,Conséquences des fractures sévères ostéoporotiques hospitalisées en France : cohorte française multicentrique CROSS,341,CROSS,597742.24,2013,N,PHRC
10,750712184,ASSISTANCE PUBLIQUE AP-HP,CESARO,Pierre,"Effet de la buspirone sur les dyskinésies iatrogènes de la maladie de Parkinson avancée. Essai multicentrique de phase II, international, randomisé double insu, contrôlé, contre placebo, en deux groupes parallèles.",601,Buspark,386471.42,2013,N,PHRC
11,750712184,ASSISTANCE PUBLIQUE AP-HP,CHAPPUY,Hélène,Prise en charge de la douleur de l’enfant ayant une fracture d’un os long par morphine seule ou en association avec le paracétamol et/ou l’ibuprofène,580,Morphapain,300913.24,2013,N,PHRC
12,590051801,GCS DU GPT DES HOPITAUX DE L'INSTITUT CATHOLIQUE DE LILLE,CHARKALUK,Marie-Laure,Efficacité de la guidance parentale orthophonique pour les grands prématurés avec un retard de langage.,279,EPILANG,295442.9,2013,N,PHRC
13,310781406,CHU DE TOULOUSE,CHARPENTIER,Sandrine,Analgésie des syndromes coronaires aigus avec sus décalage du segment ST en pré hospitalier : essai randomisé de non infériorité de l’association MEOPA+paracétamol versus Morphine.Etude SCADOL II,218,SCADOL II,404720.79999999993,2013,N,PHRC
14,750712184,ASSISTANCE PUBLIQUE AP-HP,CHARTIER-KASTLER,Emmanuel,"Etude prospective, multicentrique, comparative randomisée du traitement de l’incontinence urinaire d’effort par insuffisance sphinctérienne chez la Femme : Ballon ACT® versus Sphincter urinaire artificiel.",665,SU-ACT,644345.0,2013,N,PHRC
15,750712184,ASSISTANCE PUBLIQUE AP-HP,COMBES,Alain,Une stratégie précoce de ventilation mécanique hyperprotectrice avec épuration extracorporelle de CO2 pour les SDRA de gravité moyenne à sévère,148,SUPERNOVA,910018.0,2013,N,PHRC
16,870000015,CHU DE LIMOGES,COURATIER,Philippe,Impact sur l'état fonctionnel d'une complémentation nutritionnelle orale (CNO) précoce des patients atteints de Sclérose Latérale Amyotrophique (SLA),255,NUTRALS,491171.3599999999,2013,N,PHRC
17,940110018,CENTRE HOSPITALIER INTERCOMMUNAL DE CRETEIL,DANAN,Claude,Ventilation optimisée par lavage de l'espace mort chez l'extrême prématuré,30,VOLEM,433816.4,2013,N,PHRC
18,380780080,CHU GRENOBLE,DEBILLON,Thierry,Pronostic à long terme des encéphalopathies anoxo ischémiques néonatales à l'ère de la neuroprotection par hypothermie,327,LyTONEPAL,947854.8200000001,2013,N,PHRC
19,750712184,ASSISTANCE PUBLIQUE AP-HP,DELACOURT,Christophe,Identification prospective des facteurs prédictifs de détresse respiratoire néonatale chez les nouveau-nés avec un diagnostic prénatal de malformation pulmonaire congénitale : étude nationale représentative,58,MALFPULM,699940.4400000001,2013,N,PHRC
20,300780038,CHU NIMES,DROUPY,Stéphane,Etude de l'efficacité des ondes de choc à basse fréquence pour le traitement de la dysfonction érectile chez l'homme,354,Shock-ED,339469.0,2013,N,PHRC
21,750712184,ASSISTANCE PUBLIQUE AP-HP,DUBOIS-RANDE,Jean-Luc,Diurétique versus placebo dans l’embolie pulmonaire avec dilatation du ventricule droit,519,DiPER,647699.04,2013,N,PHRC
22,690781810,HOSPICES CIVILS DE LYON,DUPUIS-GIROD,Sophie,Efficacité du bevacizumab en spray nasal pour le traitement des épistaxis dans la maladie de Rendu-Osler.,155,ALEGORI,704458.26,2013,N,PHRC
23,670780055,HOPITAUX UNIVERSITAIRES DE STRASBOURG,DURAND,Emmanuel,Apport de la mesure de la masse maigre dans l’estimation de la fonction rénale du sujet âgé.,40,FREAGE,273552.0,2013,N,PHRC
